name,age,gender,year,course,sleeping_time,wake_time,study_hours_per_day,diet,cleanliness,noise_tolerance,guest_freq,introvert_extrovert,study_time,friends_in_room
Naman Chaudhary,20,Female,3rd year,Electrical Engineering,11:30 PM,6:30 AM,5,nonveg,2,3,often,3,morning,Yes
Meenal Mittal,18,Female,1st year,English Literature,2:00 AM,9:00 AM,6,nonveg,3,5,sometimes,3,night,No
Devendra Gutti,18,Female,1st year,Mathematics,2:00 AM,9:00 AM,4,nonveg,1,3,never,2,night,No
Kamran Sehgal,20,Male,3rd year,Mathematics,11:30 PM,8:00 AM,4,no_pref,2,3,sometimes,5,afternoon,Yes
Sai Bhatia,21,Female,4th year,Mathematics,11:00 PM,7:00 AM,3,nonveg,3,5,often,5,afternoon,Yes
Chandrashekhar Nag,19,Male,2nd year,Electrical Engineering,10:30 PM,7:00 AM,5,nonveg,3,5,sometimes,4,morning,Yes
Kamini Middinti,19,Non-binary,2nd year,Biology,10:00 PM,5:00 AM,3,nonveg,3,2,sometimes,3,morning,No
Himadri Sikarwar,21,Male,4th year,Business Administration,10:00 PM,6:00 AM,3,veg,4,4,sometimes,3,morning,Yes
Yash Rajput,19,Female,2nd year,Mathematics,1:00 AM,7:30 AM,5,nonveg,2,3,often,4,night,Yes
Ashish Venkateshwaran,18,Male,2nd year,Chemistry,11:00 PM,5:00 AM,6,nonveg,4,2,never,2,morning,No
Asutosh Kancharla,21,Female,4th year,Psychology,11:00 PM,6:30 AM,3,veg,2,4,often,5,afternoon,Yes
Vasundhara Tidke,18,Male,1st year,Chemistry,10:00 PM,6:30 AM,2,nonveg,4,3,often,3,morning,Yes
Chandran Banothu,21,Female,4th year,Biology,2:30 AM,10:30 AM,5,nonveg,3,2,sometimes,1,night,No
Shilpi Tewary,20,Female,4th year,English Literature,10:00 PM,6:00 AM,2,eggetarian,4,3,sometimes,3,morning,No
Sangeeta Mahalka,20,Non-binary,3rd year,Mechanical Engineering,1:00 AM,7:30 AM,6,nonveg,2,3,sometimes,2,night,No
