name,study_hours_per_day,cleanliness,noise_tolerance,introvert_extrovert,year,guest_freq,gender_Female,gender_Male,gender_Non-binary,diet_eggetarian,diet_no_pref,diet_nonveg,diet_veg,diet_vegan,study_time_afternoon,study_time_morning,study_time_night,sleep_sin,sleep_cos
Naman Chaudhary,0.4444,0.5,0.75,0.5,0.6667,1.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.2349,1.7846
Meenal Mittal,0.5556,1.0,1.5,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.9,1.5588
Devendra Gutti,0.3333,0.0,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.9,1.5588
Kamran Sehgal,0.3333,0.5,0.75,1.0,0.6667,0.5,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,0.0,-0.2349,1.7846
Sai Bhatia,0.2222,1.0,1.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,-0.4659,1.7387
Chandrashekhar Nag,0.4444,1.0,1.5,0.75,0.3333,0.5,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.6888,1.663
Kamini Middinti,0.2222,1.0,0.375,0.5,0.3333,0.5,0.0,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.9,1.5588
Himadri Sikarwar,0.2222,1.5,1.125,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,-0.9,1.5588
Yash Rajput,0.4444,0.5,0.75,0.75,0.3333,1.0,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.4659,1.7387
Ashish Venkateshwaran,0.5556,1.5,0.375,0.25,0.3333,0.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.4659,1.7387
Asutosh Kancharla,0.2222,0.5,1.125,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,-0.4659,1.7387
Vasundhara Tidke,0.1111,1.5,0.75,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.0,0.0,-0.9,1.5588
Chandran Banothu,0.4444,1.0,0.375,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,1.0958,1.428
Shilpi Tewary,0.1111,1.5,0.75,0.5,1.0,0.5,1.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9,1.5588
Sangeeta Mahalka,0.5556,0.5,0.75,0.25,0.6667,0.5,0.0,0.0,1.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.4659,1.7387
